;UF;city;Lat;Long;height;availability;availability time
4932;MG;Seritinga;-21.909;-44.5;1145.0;99.999;5.0
4933;RJ;Seropédica;-22.754;-43.71;26.0;99.998;11.0
4934;ES;Serra;-20.129;-40.31;0.0;99.998;11.0
4935;SC;Serra Alta;-26.753;-53.04;742.0;99.999;5.0
4936;SP;Serra Azul;-21.311;-47.6;678.0;99.999;5.0
4937;MG;Serra Azul de Minas;-18.362;-43.17;0.0;99.999;5.0
4938;PB;Serra Branca;-7.483;-36.67;0.0;99.999;5.0
4939;PB;Serra da Raiz;-6.687;-35.44;667.0;99.998;11.0
4940;MG;Serra da Saudade;-19.438;-45.8;0.0;99.999;5.0
4941;RN;Serra de São Bento;-6.417;-35.7;0.0;99.999;5.0
4942;RN;Serra do Mel;-5.17;-37.03;156.0;99.999;5.0
4943;AP;Serra do Navio;0.756;-52.0;465.0;99.999;5.0
4944;BA;Serra do Ramalho;-13.6;-43.6;1146.0;99.999;5.0
4945;MG;Serra do Salitre;-19.111;-46.69;166.0;99.999;5.0
4946;MG;Serra dos Aimorés;-17.758;-40.25;482.0;99.998;11.0
4947;BA;Serra Dourada;-12.756;-43.95;0.0;99.999;5.0
4948;PB;Serra Grande;-7.215;-38.37;0.0;99.999;5.0
4949;SP;Serra Negra;-22.612;-46.7;977.0;99.999;5.0
4950;RN;Serra Negra do Norte;-6.666;-37.4;218.0;99.999;5.0
4951;BA;Serra Preta;-12.125;-39.33;0.0;99.999;5.0
4952;PB;Serra Redonda;-7.178;-35.68;0.0;99.999;5.0
4953;PE;Serra Talhada;-7.992;-38.3;52.0;99.999;5.0
4954;SP;Serrana;-21.211;-47.6;623.0;99.999;5.0
4955;MG;Serrania;-21.5;-46.04;872.0;99.999;5.0
4956;MA;Serrano do Maranhão;-1.756;-45.12;41.0;99.998;11.0
4957;GO;Serranópolis;-18.306;-51.96;721.0;99.999;5.0
4958;MG;Serranópolis de Minas;-15.755;-42.76;243.0;99.999;5.0
4959;PR;Serranópolis do Iguaçu;-25.38;-54.05;670.0;99.999;5.0
4960;MG;Serranos;-21.756;-44.5;1136.0;99.999;5.0
4961;PB;Serraria;-6.755;-35.63;0.0;99.998;11.0
4962;BA;Serrinha;-11.664;-39.01;0.0;99.999;5.0
4963;RN;Serrinha;-6.276;-35.5;353.0;99.998;11.0
4964;RN;Serrinha dos Pintos;-6.11;-37.96;0.0;99.999;5.0
4965;PE;Serrita;-7.933;-39.3;474.0;99.999;5.0
4966;MG;Serro;-18.605;-43.38;443.0;99.999;5.0
4967;BA;Serrolândia;-11.416;-40.3;815.0;99.999;5.0
4968;PR;Sertaneja;-23.037;-50.75;386.0;99.999;5.0
4969;PE;Sertânia;-8.074;-37.26;0.0;99.999;5.0
4970;PR;Sertanópolis;-23.059;-51.04;391.0;99.999;5.0
4971;RS;Sertão;-27.98;-52.26;0.0;99.999;5.0
4972;RS;Sertão Santana;-30.46;-51.6;0.0;99.999;5.0
4973;PB;Sertãozinho;-6.755;-35.44;0.0;99.998;11.0
4974;SP;Sertãozinho;-21.138;-47.99;524.0;99.999;5.0
4975;SP;Sete Barras;-24.388;-47.93;28.0;99.999;5.0
4976;RS;Sete de Setembro;-28.131;-54.46;0.0;99.999;5.0
4977;MG;Sete Lagoas;-19.466;-44.25;816.0;99.999;5.0
4978;MS;Sete Quedas;-23.97;-55.04;0.0;99.999;5.0
4979;MG;Setubinha;-17.753;-42.27;897.0;99.999;5.0
4980;RS;Severiano de Almeida;-27.433;-52.12;0.0;99.999;5.0
4981;RN;Severiano Melo;-5.758;-37.96;0.0;99.999;5.0
4982;SP;Severínia;-20.755;-48.75;557.0;99.999;5.0
4983;SC;Siderópolis;-28.6;-49.42;0.0;99.999;5.0
4984;MS;Sidrolândia;-20.932;-54.96;0.0;99.999;5.0
4985;PI;Sigefredo Pacheco;-4.914;-41.73;209.0;99.999;5.0
4986;RJ;Silva Jardim;-22.651;-42.39;72.0;99.998;11.0
4987;GO;Silvânia;-16.659;-48.61;839.0;99.999;5.0
4988;TO;Silvanópolis;-11.147;-48.13;272.0;99.999;5.0
4989;RS;Silveira Martins;-29.643;-53.6;0.0;99.999;5.0
4990;MG;Silveirânia;-21.159;-43.22;619.0;99.999;5.0
4991;SP;Silveiras;-22.664;-44.76;687.0;99.999;5.0
4992;AM;Silves;-2.755;-58.26;0.0;99.999;5.0
4993;MG;Silvianópolis;-22.029;-45.75;871.0;99.999;5.0
4994;SE;Simão Dias;-10.754;-37.75;0.0;99.998;11.0
4995;MG;Simão Pereira;-21.964;-43.31;490.0;99.999;5.0
4996;PI;Simões;-7.6;-40.75;0.0;99.999;5.0
4997;BA;Simões Filho;-12.758;-38.4;596.0;99.998;11.0
4998;GO;Simolândia;-14.474;-46.48;530.0;99.999;5.0
4999;MG;Simonésia;-20.124;-42.0;954.0;99.999;5.0
5000;PI;Simplício Mendes;-7.756;-41.91;297.0;99.999;5.0
5001;RS;Sinimbu;-29.5;-52.5;0.0;99.999;5.0
5002;MT;Sinop;-11.756;-55.5;0.0;99.999;5.0
5003;PR;Siqueira Campos;-23.689;-49.75;694.0;99.999;5.0
5004;PE;Sirinhaém;-8.6;-35.12;0.0;99.997;16.0
5005;SE;Siriri;-10.604;-37.11;0.0;99.998;11.0
5006;GO;Sítio d'Abadia;-14.755;-46.25;787.0;99.999;5.0
5007;BA;Sítio do Mato;-13.085;-43.47;439.0;99.999;5.0
5008;BA;Sítio do Quinto;-10.35;-38.22;0.0;99.999;5.0
5009;MA;Sítio Novo;-5.756;-46.7;190.0;99.999;5.0
5010;RN;Sítio Novo;-6.104;-35.91;345.0;99.999;5.0
